Region;Average RT (ms) in the ‘Pl-Sg(acc)+Pl’ condition;Average RT (ms) in the ‘Pl-Sg(acc)+Sg’ condition;Average RT (ms) in the ‘Pl-Pl(acc)+Pl’ condition;Average RT (ms) in the ‘Pl-Pl(acc)+Sg’ condition
1;352;350;361;358
2;329;327;326;327
3;315;311;331;327
4;314;310;317;318
5;316;364;322;388
6;326;331;326;338
7;325;329;334;335
8;345;330;344;339
9;395;374;393;374
