Region;Average RT (ms) in the ‘Sg-Sg(gen)+Sg’ condition;Average RT (ms) in the ‘Sg-Sg(gen)+Pl’ condition;Average RT (ms) in the ‘Sg-Pl(gen)+Sg’ condition;Average RT (ms) in the ‘Sg-Pl(gen)+Pl’ condition
1;337;336;334;335
2;318;323;319;314
3;313;308;322;326
4;316;322;312;316
5;325;338;320;368
6;337;347;334;337
7;332;354;331;330
8;346;351;341;344
9;404;379;397;385
