Region;Average RT (ms) in the ‘Pl-Sg(gen)+Pl’ condition;Average RT (ms) in the ‘Pl-Sg(gen)+Sg’ condition;Average RT (ms) in the ‘Pl-Pl(gen)+Pl’ condition;Average RT (ms) in the ‘Pl-Pl(gen)+Sg’ condition
1;361;351;356;359
2;334;332;323;328
3;321;318;335;340
4;319;316;313;324
5;320;371;317;385
6;334;335;330;341
7;334;329;328;332
8;347;340;342;343
9;403;388;406;398
